cnt,dteday,hr,hum,temp,weekday,windspeed,season_1,season_2,season_3,season_4,holiday_0,holiday_1,workingday_0,workingday_1,weathersit_1,weathersit_2,weathersit_3,weathersit_4,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12
4,2011-01-04,5,0.2735330135071889,-1.9578604538647888,2,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,2011-01-04,6,0.584535853411329,-1.9578604538647888,2,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,2011-01-04,7,0.584535853411329,-1.9578604538647888,2,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,2011-01-04,8,0.32536682015787843,-1.8539916425170808,2,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,2011-01-04,9,0.06619778690442844,-1.7501228311693733,2,0.2763062210748125,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,2011-01-04,10,0.32536682015787843,-1.7501228311693733,2,1.1305060852648328,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,2011-01-04,11,-0.6076416995545424,-1.4385163971262496,2,0.8860986600085493,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,2011-01-04,12,-0.6076416995545424,-1.4385163971262496,2,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,2011-01-04,13,-0.34847266630109186,-1.3346475857785418,2,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,2011-01-04,14,-0.5558078929038524,-1.230778774430834,2,0.2763062210748125,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,2011-01-04,15,-0.5558078929038524,-1.126909963083126,2,0.5198962301931148,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,2011-01-04,16,-0.7113093128559226,-1.0230411517354185,2,0.5198962301931148,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,2011-01-04,17,-0.7631431195066127,-1.126909963083126,2,0.2763062210748125,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,2011-01-04,18,-0.7631431195066127,-1.230778774430834,2,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,2011-01-04,19,-0.7631431195066127,-1.3346475857785418,2,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,2011-01-04,20,-0.7631431195066127,-1.3346475857785418,2,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,2011-01-04,21,0.06619778690442844,-1.4385163971262496,2,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2011-01-04,22,0.06619778690442844,-1.4385163971262496,2,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2011-01-04,23,0.32536682015787843,-1.5423852084739573,2,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2011-01-05,0,0.06619778690442844,-1.5423852084739573,3,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2011-01-05,1,0.584535853411329,-1.7501228311693733,3,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-05,2,0.584535853411329,-1.7501228311693733,3,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-05,4,-0.7631431195066127,-1.3346475857785418,3,0.2763062210748125,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-05,5,-0.8149769261573029,-1.4385163971262496,3,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,2011-01-05,6,-0.8149769261573029,-1.5423852084739573,3,0.2763062210748125,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,2011-01-05,7,-1.022312152760063,-1.6462540198216653,3,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,2011-01-05,8,-1.177813572712133,-1.5423852084739573,3,0.8860986600085493,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,2011-01-05,9,-1.3333149926642034,-1.4385163971262496,3,1.1305060852648328,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,2011-01-05,10,-1.3333149926642034,-1.4385163971262496,3,1.1305060852648328,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,2011-01-05,11,-1.5406502192669635,-1.230778774430834,3,1.1305060852648328,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,2011-01-05,12,-1.5406502192669635,-1.230778774430834,3,1.1305060852648328,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,2011-01-05,13,-1.696151639219034,-1.126909963083126,3,0.8860986600085493,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,2011-01-05,14,-1.7998192525204137,-1.0230411517354185,3,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,2011-01-05,15,-1.7998192525204137,-1.0230411517354185,3,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,2011-01-05,16,-1.7998192525204137,-1.0230411517354185,3,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,2011-01-05,17,-1.2814811860135134,-1.3346475857785418,3,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
169,2011-01-05,18,-1.2814811860135134,-1.3346475857785418,3,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,2011-01-05,19,-1.2814811860135134,-1.3346475857785418,3,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,2011-01-05,20,-0.8149769261573029,-1.4385163971262496,3,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,2011-01-05,21,-0.6076416995545424,-1.5423852084739573,3,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,2011-01-05,22,-0.40030647295178196,-1.6462540198216653,3,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,2011-01-05,23,-0.8149769261573029,-1.5423852084739573,3,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2011-01-06,0,-0.40030647295178196,-1.6462540198216653,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2011-01-06,1,0.06619778690442844,-1.7501228311693733,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-06,2,0.06619778690442844,-1.7501228311693733,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-06,4,0.06619778690442844,-1.7501228311693733,4,-0.8214836522335098,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2011-01-06,5,0.32536682015787843,-1.8539916425170808,4,-0.8214836522335098,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,2011-01-06,6,0.014363980253738333,-1.8539916425170808,4,-0.6996886476743587,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,2011-01-06,7,-0.1929712463490221,-1.7501228311693733,4,-1.5538885118643786,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,2011-01-06,8,-0.1929712463490221,-1.7501228311693733,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,2011-01-06,9,-0.6076416995545424,-1.6462540198216653,4,-1.5538885118643786,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,2011-01-06,10,-0.8149769261573029,-1.5423852084739573,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,2011-01-06,11,-0.9704783461093729,-1.4385163971262496,4,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2011-01-06,12,-1.4369826059655837,-1.230778774430834,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,2011-01-06,13,-1.4369826059655837,-1.230778774430834,4,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,2011-01-06,14,-1.3851487993148934,-1.126909963083126,4,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,2011-01-06,15,-1.3851487993148934,-1.126909963083126,4,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,2011-01-06,16,-1.2814811860135134,-1.230778774430834,4,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,2011-01-06,17,-0.6076416995545424,-1.4385163971262496,4,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,2011-01-06,18,-0.6076416995545424,-1.4385163971262496,4,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,2011-01-06,19,-0.40030647295178196,-1.4385163971262496,4,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,2011-01-06,20,-0.6076416995545424,-1.5423852084739573,4,-0.2116912132997729,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,2011-01-06,21,-0.40030647295178196,-1.4385163971262496,4,0.2763062210748125,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,2011-01-06,22,-0.6076416995545424,-1.4385163971262496,4,0.7643036554493984,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2011-01-06,23,-0.1929712463490221,-1.5423852084739573,4,0.03189879581852919,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2011-01-07,0,0.06619778690442844,-1.5423852084739573,5,0.03189879581852919,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2011-01-07,1,0.32536682015787843,-1.5423852084739573,5,0.2763062210748125,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-07,2,0.32536682015787843,-1.5423852084739573,5,0.2763062210748125,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-07,4,0.32536682015787843,-1.5423852084739573,5,-0.4560986385560562,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-07,5,-0.40030647295178196,-1.4385163971262496,5,-1.5538885118643786,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2011-01-07,6,0.32536682015787843,-1.5423852084739573,5,-1.5538885118643786,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2011-01-07,7,0.32536682015787843,-1.5423852084739573,5,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,2011-01-07,8,-0.6076416995545424,-1.5423852084739573,5,0.5198962301931148,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,2011-01-07,9,-0.8149769261573029,-1.5423852084739573,5,0.8860986600085493,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,2011-01-07,10,-1.3333149926642034,-1.4385163971262496,5,1.1305060852648328,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,2011-01-07,11,-1.177813572712133,-1.5423852084739573,5,0.2763062210748125,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,2011-01-07,12,-1.3333149926642034,-1.5423852084739573,5,0.5198962301931148,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,2011-01-07,13,-1.3333149926642034,-1.5423852084739573,5,0.7643036554493984,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,2011-01-07,14,-1.177813572712133,-1.5423852084739573,5,0.5198962301931148,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
